length,maxspeed,lanes,highway
144.921,,2,residential
178.807,,,primary
93.368,,2,tertiary
94.55799999999999,,,primary
93.598,25 mph,"['2', '3']",primary
213.02100000000002,,2,residential
96.59799999999998,25 mph,1,residential
11.261,25 mph,2,secondary
208.344,25 mph,2,secondary
111.22,25 mph,2,secondary
35.199,25 mph,2,secondary
105.859,25 mph,1,unclassified
29.906000000000002,25 mph,2,secondary
117.119,25 mph,1,residential
86.322,25 mph,"['2', '3']",secondary
131.666,25 mph,1,residential
68.214,25 mph,2,secondary
126.82300000000001,25 mph,1,residential
12.581000000000001,25 mph,3,secondary
62.909,25 mph,3,secondary
132.186,25 mph,1,residential
41.757999999999996,25 mph,2,secondary
140.284,25 mph,1,residential
66.263,25 mph,2,secondary
161.974,25 mph,1,unclassified
66.531,25 mph,"['2', '3']",secondary
73.169,25 mph,2,secondary
140.93599999999998,25 mph,2,unclassified
119.72999999999999,25 mph,,residential
69.04,25 mph,2,secondary
70.715,25 mph,2,secondary
148.128,25 mph,"['4', '2']",residential
168.646,25 mph,2,residential
144.452,25 mph,,residential
76.531,25 mph,2,secondary
176.704,25 mph,1,residential
77.03200000000001,25 mph,2,secondary
151.77100000000002,25 mph,1,tertiary
80.04599999999999,25 mph,2,secondary
68.025,25 mph,2,secondary
83.639,25 mph,4,trunk
156.661,25 mph,4,trunk
32.796,25 mph,2,secondary
70.981,25 mph,4,secondary
80.673,25 mph,,residential
120.86800000000001,25 mph,2,secondary
81.18599999999999,25 mph,1,secondary
80.506,25 mph,4,primary
123.808,25 mph,2,secondary
80.693,25 mph,,residential
162.774,25 mph,2,secondary
160.35299999999998,25 mph,2,secondary
80.583,25 mph,,residential
15.427,25 mph,,secondary
83.619,25 mph,"['4', '3']",primary
115.282,25 mph,,residential
90.25599999999999,25 mph,2,primary
82.289,25 mph,,residential
81.295,25 mph,2,primary
111.158,25 mph,1,residential
77.429,25 mph,2,primary
80.579,25 mph,,residential
78.758,25 mph,2,primary
75.60300000000001,25 mph,2,primary
122.196,25 mph,2,residential
65.858,25 mph,2,primary
124.22899999999998,25 mph,2,residential
68.943,25 mph,2,primary
228.959,25 mph,1,residential
74.558,25 mph,2,primary
106.882,25 mph,1,residential
75.135,25 mph,2,primary
195.914,25 mph,,residential
79.78899999999999,25 mph,2,primary
104.797,25 mph,1,residential
86.332,25 mph,2,primary
125.504,25 mph,1,residential
86.44000000000001,25 mph,2,primary
80.978,25 mph,2,residential
92.15200000000002,25 mph,2,primary
95.342,25 mph,2,residential
136.843,25 mph,,residential
52.916,25 mph,1,residential
104.88799999999999,25 mph,1,residential
204.73499999999996,,2,tertiary
72.63300000000001,25 mph,4,primary
111.836,,,secondary
91.077,25 mph,4,primary
91.55300000000001,25 mph,4,primary
66.836,,1,unclassified
117.13799999999999,25 mph,"['4', '3']",primary
135.789,,"['2', '3']",primary
93.14099999999999,,4,primary
199.906,25 mph,3,secondary
158.39600000000002,25 mph,1,unclassified
88.845,,3,primary
18.574,25 mph,,residential
89.772,,3,primary
89.14899999999999,,3,primary
77.59100000000001,25 mph,,residential
20.851,25 mph,1,residential
90.53999999999999,,3,primary
234.153,25 mph,6,secondary
94.125,,3,primary
42.576,25 mph,4,secondary
207.60500000000002,,,residential
90.603,25 mph,3,primary
20.195,,,residential
85.06400000000001,25 mph,3,primary
18.734,,,residential
83.129,25 mph,3,primary
116.675,25 mph,1,residential
84.07400000000001,25 mph,3,primary
19.501,25 mph,4,secondary
104.79500000000002,25 mph,4,secondary
87.02799999999999,25 mph,3,primary
105.40599999999999,,,residential
81.37700000000001,25 mph,4,primary
18.856,,,residential
80.799,25 mph,4,primary
79.815,25 mph,4,primary
107.57400000000001,,,residential
81.139,25 mph,4,primary
114.874,,,residential
16.849,25 mph,,secondary
120.85199999999999,25 mph,4,secondary
87.444,25 mph,4,primary
85.675,25 mph,4,primary
126.851,,2,residential
16.591,,,residential
80.092,25 mph,4,primary
17.181,,,residential
79.43799999999999,25 mph,4,primary
81.333,25 mph,4,primary
127.90500000000002,"['5 mph', '25 mph']",1,residential
17.38,,,residential
78.783,25 mph,4,primary
79.647,25 mph,4,primary
127.293,,,residential
19.236,25 mph,1,residential
79.792,25 mph,2,primary
79.418,25 mph,"['2', '3']",primary
23.079,,3,secondary
126.31099999999999,,"['4', '5']",secondary
86.964,25 mph,2,primary
22.573,,,secondary
126.24199999999999,25 mph,1,residential
85.179,25 mph,2,primary
